The Broken Road;Rolling Stones;399;Rock, Blues Rock;13/09/1974
Midnight Echo of Shadows;Rolling Stones;202;Rock;25/03/2011
Lonely Stars;Rolling Stones;284;Blues Rock;22/11/1974
The Sweet Sound;Rolling Stones;389;Rock;13/08/1962
Lost River of Night;Rolling Stones;257;Rock, Blues Rock;02/01/1978
Broken Sound;Rolling Stones;270;Blues Rock;01/06/2007
The Old Stars;Rolling Stones;212;Rock;06/05/2011
Silent Journey;Rolling Stones;400;Blues Rock;12/02/2019
Sweet River;Rolling Stones;346;Rock;22/09/1999
Dancing Dream of Night;Coldplay;402;Alternative, Rock;18/02/2008
The New Lights;Coldplay;423;Alternative;28/08/1992
Golden Fire;Coldplay;440;Rock;14/04/1993
The Midnight Dream;Coldplay;255;Alternative;29/12/1984
Lost Road;Coldplay;242;Rock;05/07/2007
The Singing Stars;Coldplay;339;Alternative, Rock;24/02/1975
Chasing the River;Coldplay;300;Alternative;22/05/1985
Golden Song of Day;Coldplay;271;Rock;09/06/2006
Silent Road;Coldplay;291;Alternative;07/07/2005
Midnight Journey of Shadows;Adele;404;Pop, Soul;22/04/1991
The Sweet Soul;Adele;280;Pop;18/10/1970
Lonely Heart;Adele;282;Soul;15/09/1997
The Lost Dream;Adele;475;Pop;08/01/1973
Falling Stars;Adele;410;Soul;04/02/1974
The Silent Sound;Adele;315;Pop, Soul;23/07/1962
Whispering Echo;Adele;220;Soul;28/12/1998
Sweet Fire;Adele;360;Pop;23/06/2020
Broken Dream of Sky;Adele;233;Soul;24/02/1967
The Midnight Sky;The Weeknd;470;R&B, Electronic;05/03/2012
Sweet Echo of Night;The Weeknd;301;Pop, R&B;24/12/1980
Bright Heart;The Weeknd;442;Electronic;08/05/1963
The Lost Soul;The Weeknd;228;R&B;06/05/1999
Lonely Dream;The Weeknd;395;Pop;28/04/1980
Whispering Road;The Weeknd;400;Electronic;07/05/1996
Electric Heart;The Weeknd;308;R&B;04/02/1980
The Dancing Echo;The Weeknd;418;Pop;30/06/1994
Burning Stars;The Weeknd;339;Electronic;21/06/1964
The Golden Echo;Metallica;434;Metal, Thrash Metal;12/10/1998
Midnight Fire;Metallica;261;Metal;28/10/1992
Lonely Dream of River;Metallica;326;Thrash Metal;10/04/2001
The Silent Sound;Metallica;256;Metal;31/03/2018
Broken Heart;Metallica;466;Thrash Metal;19/06/1960
The Lost Road;Metallica;451;Metal;17/10/1965
Wild Fire;Metallica;418;Thrash Metal;24/07/1998
Burning Dream;Metallica;316;Metal;09/12/2000
Dark Heart of Sound;Metallica;377;Thrash Metal;09/07/1985
Lost Echo;Metallica;356;Metal;25/11/2006
The Chasing Sky;Linkin Park;266;Alternative, Nu Metal;04/08/1984
Whispering Shadows;Linkin Park;276;Nu Metal;13/09/1970
Lonely Echo;Linkin Park;294;Alternative;25/08/1997
The Midnight Road;Linkin Park;316;Nu Metal;16/12/1996
Broken Dream;Linkin Park;209;Alternative;16/09/1968
Wild Heart;Linkin Park;265;Nu Metal;03/06/2014
The Dancing Dream;Linkin Park;256;Alternative, Nu Metal;22/10/2004
Bright Stars of Sky;Linkin Park;301;Nu Metal;27/10/1975
Burning Echo;Linkin Park;477;Alternative;11/02/2010
The Midnight River;Daft Punk;425;Electronic, House;22/07/2002
Electric Sound;Daft Punk;276;House, Disco;08/09/1962
Golden Fire;Daft Punk;326;Electronic;21/08/2016
The Silent Night;Daft Punk;205;House;21/12/2016
Lost Dream of Sound;Daft Punk;388;Electronic, Disco;10/07/1980
Dancing Lights;Daft Punk;231;House;20/06/1999
Bright Sky;Daft Punk;407;Electronic;29/11/1983
The Sweet Sound;Daft Punk;257;House;19/06/1995
Midnight Stars;Daft Punk;299;Electronic, Disco;16/04/1998
Broken Heart;Daft Punk;373;House;30/03/1977
The Golden Dream;Rosalía;402;Flamenco Pop, R&B;18/10/1997
Dancing Stars;Rosalía;464;R&B;28/01/1965
Wild Heart;Rosalía;470;Flamenco Pop;12/06/1960
The Silent Echo;Rosalía;307;R&B;15/02/1986
Lost Fire;Rosalía;383;Flamenco Pop, R&B;12/03/1976
Midnight City;Rosalía;223;R&B;02/08/2003
Lonely Road;Rosalía;302;Flamenco Pop;29/06/1987
The Singing Heart;Rosalía;266;R&B;07/11/2024
Bright Stars;Rosalía;328;Flamenco Pop;02/03/2005
Broken Echo of Sky;Rosalía;202;R&B;18/11/1966
The Midnight Road;Guns N' Roses;327;Hard Rock;11/04/2020
Golden Fire;Guns N' Roses;320;Hard Rock, Glam Metal;16/04/1985
Wild Heart;Guns N' Roses;397;Glam Metal;25/11/1961
The Lost Sound;Guns N' Roses;422;Hard Rock;14/04/2024
Whispering Stars;Guns N' Roses;269;Glam Metal;26/07/1995
Lonely Echo;Guns N' Roses;301;Hard Rock;20/09/1970
Burning Dream;Guns N' Roses;355;Glam Metal;22/06/2024
The Sweet Echo;Guns N' Roses;363;Hard Rock;28/06/1994
Bright Dream;Guns N' Roses;235;Glam Metal;26/09/1987
The Silent Road;Billie Eilish;240;Pop, Alternative;16/02/1966
Lost Fire;Billie Eilish;263;Alternative;08/12/1998
Midnight Heart;Billie Eilish;463;Pop;02/10/2019
Whispering River;Billie Eilish;352;Alternative;23/10/2001
Lonely Echo of Shadow;Billie Eilish;220;Pop;08/11/1970
Broken Lights;Billie Eilish;473;Alternative;11/02/1981
The Sweet Sky;Billie Eilish;370;Pop;10/08/1983
Dark Dream;Billie Eilish;443;Alternative;31/10/2017
Bright Night;Billie Eilish;388;Pop, Alternative;09/01/1970
The Wild Sound;Lil Nas X;355;Hip Hop, Country Rap;11/06/1970
Midnight Heart;Lil Nas X;269;Country Rap;05/06/1972
Lonely Dream;Lil Nas X;348;Hip Hop;05/11/1963
The Lost Sky;Lil Nas X;417;Country Rap;23/08/2024
Burning Lights;Lil Nas X;253;Hip Hop;29/07/1974
Sweet River;Lil Nas X;203;Country Rap;24/03/1983
The Old Sky;Lil Nas X;391;Hip Hop;22/03/1988
Dancing Stars;Lil Nas X;320;Country Rap;20/08/2000
The Bright Sky;Lil Nas X;230;Hip Hop;18/01/1984
Golden Echo of Love;Lil Nas X;462;Country Rap;07/10/2000
The Sweet Sound;Harry Styles;430;Pop, Rock;21/05/1973
Silent Night;Harry Styles;262;Pop;14/12/2017
Lonely Heart of Sky;Harry Styles;308;Rock;12/05/2002
The Lost River;Harry Styles;285;Pop;29/09/1973
Bright Lights;Harry Styles;290;Rock;30/03/2001
Whispering Echo;Harry Styles;393;Pop;05/12/2000
Burning Stars;Harry Styles;274;Rock;25/03/2024
The Old Road;Harry Styles;297;Pop;02/06/2019
Golden Dream;Harry Styles;465;Rock;22/01/1980
Midnight Sky of Night;Harry Styles;240;Pop;11/02/1989
The Electric Heart;The Beatles;238;Pop, Classic Rock;01/11/2001
Golden Dream;The Beatles;294;Classic Rock, Pop;31/01/2016
Whispering Stars;The Beatles;314;Pop;02/01/2023
The Sweet River;The Beatles;391;Classic Rock;20/09/2017
Lonely Road;The Beatles;425;Pop;15/05/2006
Broken Dream;The Beatles;222;Classic Rock;05/05/1974
The Old Sound;The Beatles;323;Pop;17/09/1988
Dancing Lights;The Beatles;470;Classic Rock;02/12/1980
Bright Sky;The Beatles;254;Pop, Classic Rock;17/08/2019
Midnight Echo of Sky;The Beatles;211;Classic Rock;30/11/1988
The Lost River;Skank;363;Brazilian Pop, Reggae;23/08/1965
Dancing Dream;Skank;338;Brazilian Pop;25/12/1962
Golden Stars;Skank;333;Reggae, Rock;03/08/2008
The Silent Night;Skank;425;Brazilian Pop;09/09/1994
Lonely Sound;Skank;234;Reggae;04/11/1962
Broken Heart of Sky;Skank;248;Brazilian Pop;06/12/1976
Wild Fire;Skank;262;Reggae;26/03/2016
The Sweet Dream;Skank;350;Brazilian Pop, Rock;24/10/1966
Bright Road;Skank;230;Reggae;02/04/1995
Midnight City of Night;Skank;293;Brazilian Pop;10/07/2007
The Bright Sky;Maroon 5;210;Pop, Funk Rock;13/11/1976
Golden Fire;Maroon 5;302;Funk Rock;25/04/2000
Midnight Road;Maroon 5;340;Pop;08/09/1983
The Dancing Lights;Maroon 5;203;Funk Rock;13/10/1964
Lost River of Shadow;Maroon 5;246;Pop;11/12/2017
Silent Sound;Maroon 5;322;Funk Rock;23/01/2002
Whispering Dream;Maroon 5;435;Pop;14/04/1964
Broken Sky;Maroon 5;431;Funk Rock;05/02/1996
The New Dream;Maroon 5;338;Pop;16/01/2014
Burning Heart;Maroon 5;362;Funk Rock;20/03/1990
The Old Song;Taylor Swift;226;Pop, Country;15/12/1994
Lonely Heart;Taylor Swift;278;Country;24/12/1974
Silent Stars;Taylor Swift;339;Pop;22/12/1964
The Bright Sky;Taylor Swift;433;Country;12/06/1997
Lost River of Night;Taylor Swift;241;Pop;28/08/2008
Whispering Echo;Taylor Swift;347;Country;13/12/1974
Sweet Dream;Taylor Swift;452;Pop;12/03/1967
Broken Road;Taylor Swift;398;Country;18/08/1977
The Burning Stars;Taylor Swift;306;Pop, Country;21/12/1967
Golden Night of Sound;Taylor Swift;260;Country;12/05/2022
The Wild Dream;Kendrick Lamar;341;Hip Hop, Rap;16/01/1991
Midnight Sky;Kendrick Lamar;265;Rap;09/08/1964
Lonely Lights;Kendrick Lamar;392;Hip Hop;12/01/2006
The Lost Road;Kendrick Lamar;460;Rap;01/10/1973
Burning Fire;Kendrick Lamar;327;Hip Hop;18/02/1960
Sweet River;Kendrick Lamar;213;Rap;24/12/1967
The Silent Sound;Kendrick Lamar;405;Hip Hop;22/02/1992
Dark Echo;Kendrick Lamar;346;Rap;17/06/1986
Bright Night;Kendrick Lamar;300;Hip Hop;05/10/1999
Golden Heart of Sky;Kendrick Lamar;206;Rap;29/08/1973
The Electric Dream;J Balvin;346;Reggaeton, Latin Pop;19/09/1973
Golden River;J Balvin;383;Latin Pop;24/02/1970
Lonely Road;J Balvin;289;Reggaeton;31/08/1991
The Lost Echo;J Balvin;215;Latin Pop;02/12/2021
Whispering Stars;J Balvin;415;Reggaeton;25/05/2002
Sweet Sound;J Balvin;237;Latin Pop;09/07/1989
Broken Sky;J Balvin;220;Reggaeton;18/10/2016
The New Stars;J Balvin;298;Latin Pop;31/10/2005
Bright Night;J Balvin;443;Reggaeton;22/04/1991
Burning Heart of Night;J Balvin;300;Latin Pop;08/05/2008
The Sweet Sound;Beyoncé;211;R&B, Pop;19/05/1998
Midnight City;Beyoncé;294;Pop;18/07/1986
Lonely Heart;Beyoncé;465;Soul;06/12/1971
The Lost Dream;Beyoncé;374;R&B;05/06/1965
Burning Stars;Beyoncé;310;Pop;04/08/1980
Whispering Echo;Beyoncé;479;Soul;09/09/2021
